experiment_id,date,recording_start_est,recording_end_est,duration_seconds,ce_variant,campaign_year,logical_stages,key_bindings,experiment_block,scenario_id,source_event_name,attempt_type,team_focus,route_id,vehicle_ids,vehicle_count,vehicle_descriptions,gps_ids,relevant_nodes,delay_in_start,ce_log_table,quality_status,recommended_for_use,selection_basis,notes,source_file,source_row,raw_start,raw_end,timezone_basis
20241008-vehicle-convergence-1-r004,2024-10-08,2024-10-08 10:12:05,2024-10-08 10:13:17,72,Vehicle convergence,2024,CONVERGES → group dwell → asynchronous group exits,"vehicle group, target zone",Complex Events block 1,1,Vehicle convergence scenario 1,standard,,"green, orange, pink",w1; w2; w3,3,,"ATV1 (white sedan), ATV2 (silver sedan), Truck2 (black sedan)",,0 seconds,,usable_with_caveats,True,"User-specified October 8 complex-event block, scenarios 1-5","Low Precision GPS; Nissan Sedan drove close to the nose 2 sensor in this experiment.; All sedans were similar in shape and size but differed in color. Vehicle/GPS descriptions recorded in scenario 1: ATV1 (white sedan), ATV2 (silver sedan), Truck2 (black sedan). Source sheet warns no reliable GPS until source row 24.",IoBT_Experiment_Proposed_Trials_7Out24.xlsx - DataLog-8Oct24.csv,4,10:12:05,10:13:17,EST (as specified by user; no UTC conversion applied)
20241008-vehicle-convergence-2-r005,2024-10-08,2024-10-08 10:15:00,2024-10-08 10:17:00,120,Vehicle convergence,2024,CONVERGES → group dwell → asynchronous group exits,"vehicle group, target zone",Complex Events block 1,2,Vehicle convergence scenario 2,standard,,"green, orange, pink",w1; w2; w3,3,,,,15 seconds,,usable_with_caveats,True,"User-specified October 8 complex-event block, scenarios 1-5","ATV driving on perimeter, possible incorrect start time;Nissan Sedan drove close to the nose 2 sensor in this experiment.; All sedans were similar in shape and size but differed in color. Vehicle/GPS descriptions recorded in scenario 1: ATV1 (white sedan), ATV2 (silver sedan), Truck2 (black sedan). Source sheet warns no reliable GPS until source row 24.",IoBT_Experiment_Proposed_Trials_7Out24.xlsx - DataLog-8Oct24.csv,5,10:15,10:17:00,EST (as specified by user; no UTC conversion applied)
20241008-vehicle-convergence-3-r006,2024-10-08,2024-10-08 10:21:14,2024-10-08 10:22:49,95,Vehicle convergence,2024,CONVERGES → group dwell → asynchronous group exits,"vehicle group, target zone",Complex Events block 1,3,Vehicle convergence scenario 3,standard,,"green, orange, pink",w1; w2; w3,3,,,,30 seconds,,usable_with_caveats,True,"User-specified October 8 complex-event block, scenarios 1-5","Nissan Sedan drove close to the nose 2 sensor in this experiment.; All sedans were similar in shape and size but differed in color. Vehicle/GPS descriptions recorded in scenario 1: ATV1 (white sedan), ATV2 (silver sedan), Truck2 (black sedan). Source sheet warns no reliable GPS until source row 24.",IoBT_Experiment_Proposed_Trials_7Out24.xlsx - DataLog-8Oct24.csv,6,10/8/2024 10:21:14,10/8/2024 10:22:49,EST (as specified by user; no UTC conversion applied)
20241008-vehicle-convergence-4-r007,2024-10-08,2024-10-08 10:24:53,2024-10-08 10:26:55,122,Vehicle convergence,2024,CONVERGES → group dwell → asynchronous group exits,"vehicle group, target zone",Complex Events block 1,4,Vehicle convergence scenario 4,standard,,"green, orange, pink",w1; w2; w3,3,,,,45 seconds,,usable_with_caveats,True,"User-specified October 8 complex-event block, scenarios 1-5","Nissan Sedan drove close to the nose 2 sensor in this experiment.; All sedans were similar in shape and size but differed in color. Vehicle/GPS descriptions recorded in scenario 1: ATV1 (white sedan), ATV2 (silver sedan), Truck2 (black sedan). Source sheet warns no reliable GPS until source row 24.",IoBT_Experiment_Proposed_Trials_7Out24.xlsx - DataLog-8Oct24.csv,7,10/8/2024 10:24:53,10:26:55,EST (as specified by user; no UTC conversion applied)
20241008-vehicle-convergence-5-r008,2024-10-08,2024-10-08 10:28:16,2024-10-08 10:31:02,166,Vehicle convergence,2024,CONVERGES → group dwell → asynchronous group exits,"vehicle group, target zone",Complex Events block 1,5,Vehicle convergence scenario 5,standard,,"green, orange, pink",w1; w2; w3,3,,,,60 seconds,,usable_with_caveats,True,"User-specified October 8 complex-event block, scenarios 1-5","Nissan Sedan drove close to the nose 2 sensor in this experiment.; All sedans were similar in shape and size but differed in color. Vehicle/GPS descriptions recorded in scenario 1: ATV1 (white sedan), ATV2 (silver sedan), Truck2 (black sedan). Source sheet warns no reliable GPS until source row 24.",IoBT_Experiment_Proposed_Trials_7Out24.xlsx - DataLog-8Oct24.csv,8,10/8/2024 10:28:16,10/8/2024 10:31:02,EST (as specified by user; no UTC conversion applied)
20241008-route-convoy-1-r012,2024-10-08,2024-10-08 11:08:24,2024-10-08 11:10:02,98,Route convoy,2024,ON_ROUTE + chained sustained FOLLOWS,ordered vehicle roles,temporal_ce1,1,Route convoy scenario 1,standard,,Cyan,w1; w2; w3,3,,,,0 seconds,,usable_with_caveats,True,"User-specified October 8 temporal_ce1 block, scenarios 1-24; invalid logged attempts retained and flagged",Temporal CE1 block. Header notes ATV uses WartHog 3 GPS (Operator 1). Source sheet warns no reliable GPS until source row 24.,IoBT_Experiment_Proposed_Trials_7Out24.xlsx - DataLog-8Oct24.csv,12,11:08:24,11:10:02,EST (as specified by user; no UTC conversion applied)
20241008-route-convoy-2-r013,2024-10-08,2024-10-08 11:11:53,2024-10-08 11:13:17,84,Route convoy,2024,ON_ROUTE + chained sustained FOLLOWS,ordered vehicle roles,temporal_ce1,2,Route convoy scenario 2,standard,,CyanR,w1; w2; w3,3,,,,0 seconds,,usable_with_caveats,True,"User-specified October 8 temporal_ce1 block, scenarios 1-24; invalid logged attempts retained and flagged","Departing 1, 2, 3; Temporal CE1 block. Header notes ATV uses WartHog 3 GPS (Operator 1). Source sheet warns no reliable GPS until source row 24.",IoBT_Experiment_Proposed_Trials_7Out24.xlsx - DataLog-8Oct24.csv,13,11:11:53,11:13:17,EST (as specified by user; no UTC conversion applied)
20241008-route-convoy-3-r014,2024-10-08,2024-10-08 11:14:39,2024-10-08 11:16:00,81,Route convoy,2024,ON_ROUTE + chained sustained FOLLOWS,ordered vehicle roles,temporal_ce1,3,Route convoy scenario 3,standard,,"Cyan, Yellow",w1; w2; (w3 yellow),3,,,,0 seconds,,usable_with_caveats,True,"User-specified October 8 temporal_ce1 block, scenarios 1-24; invalid logged attempts retained and flagged",Temporal CE1 block. Header notes ATV uses WartHog 3 GPS (Operator 1). Source sheet warns no reliable GPS until source row 24.,IoBT_Experiment_Proposed_Trials_7Out24.xlsx - DataLog-8Oct24.csv,14,11:14:39,11:16:00,EST (as specified by user; no UTC conversion applied)
20241008-route-convoy-4-r015,2024-10-08,2024-10-08 11:18:55,2024-10-08 11:20:22,87,Route convoy,2024,ON_ROUTE + chained sustained FOLLOWS,ordered vehicle roles,temporal_ce1,4,Route convoy scenario 4,standard,,"CyanR, Yellow",w1; w2; (w3 yellow),3,,,,0 seconds,,usable_with_caveats,True,"User-specified October 8 temporal_ce1 block, scenarios 1-24; invalid logged attempts retained and flagged","For Geosensors, we are going close to 1, 2, 3 in a sedan; Temporal CE1 block. Header notes ATV uses WartHog 3 GPS (Operator 1). Source sheet warns no reliable GPS until source row 24.",IoBT_Experiment_Proposed_Trials_7Out24.xlsx - DataLog-8Oct24.csv,15,11:18:55,11:20:22,EST (as specified by user; no UTC conversion applied)
20241008-route-convoy-5-r016,2024-10-08,2024-10-08 11:21:59,2024-10-08 11:24:18,139,Route convoy,2024,ON_ROUTE + chained sustained FOLLOWS,ordered vehicle roles,temporal_ce1,5,Route convoy scenario 5,standard,,"Cyan, Yellow",w1; w3; (w2 yellow),3,,,,0 seconds,,usable_with_caveats,True,"User-specified October 8 temporal_ce1 block, scenarios 1-24; invalid logged attempts retained and flagged","For Geosensors, we are going close to 1, 2, 3 in a sedan, All three mobile devices lost connection; Temporal CE1 block. Header notes ATV uses WartHog 3 GPS (Operator 1). Source sheet warns no reliable GPS until source row 24.",IoBT_Experiment_Proposed_Trials_7Out24.xlsx - DataLog-8Oct24.csv,16,10/8/2024 11:21:59,11:24:18,EST (as specified by user; no UTC conversion applied)
